Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT)
1970-01-01 00:00:18.700,1.6408817451481927,7.637068248590362,7.162157834253011,-0.002569422299673494,0.022472555507215664,0.01837325506985542,50.23847484,6.64351826,414.6748257,8.359999657,319.1000061,10.93815994,17.18296242,-7.745625305100001,7.7512502192,-24.200626182
1970-01-01 00:00:18.800,1.586008972433735,7.771913155036145,7.0787405680722895,0.006446094736487952,0.022104575030621687,0.02451116633240964,50.238485159,6.643506765,414.34734542999996,8.6709997183,318.87000427,10.7692650771,16.95577059,-7.7381252286999995,6.9262502192,-23.373750877
1970-01-01 00:00:18.900,1.7022806980240963,7.7499886190722895,7.099173270024097,0.030647806694178575,0.018470857541792857,0.01709645126895119,50.238495478000004,6.64349527,414.01986516,8.981999779599999,318.64000244,10.6003702142,16.728578759999998,-6.8418752669,7.3425003049,-23.565000342
1970-01-01 00:00:19.000,1.3154863005892856,7.657933314619048,7.039310336071429,0.00784441960503253,0.0032787042282108434,0.03193700834228916,50.238505797,6.643483775,413.69238488999997,9.2929998409,318.41000061,10.4314753513,16.50138693,-7.7418753623,7.7268753051,-23.456250763
1970-01-01 00:00:19.100,1.7641012841084338,8.142807811132531,6.894875193180722,0.001272291927766265,-0.023812003910877108,0.03204004257771084,50.238516116,6.64347228,413.36490462,9.6039999022,318.17999878,10.2625804884,16.2741951,-7.8693752765,7.8206253051,-23.0475008
1970-01-01 00:00:19.200,1.387729030773494,8.320064165493976,6.451554373072289,0.011899562183944579,0.001924536918859036,0.0322019538553012,50.238526435,6.643460785,413.03742435,9.9149999635,317.94999695,10.093685625500001,16.047003269999998,-8.349375248,7.768125390900001,-23.595000839
1970-01-01 00:00:19.300,1.6975995589397588,8.327541696024095,7.094124529686747,0.003501463446476191,-0.012704168611302382,0.03512371740642857,50.238536754,6.6434492899999995,412.70994407999996,10.2260000248,317.71999511999996,9.9247907626,15.819811439999999,-8.1618755339,7.708125305,-23.43187561
1970-01-01 00:00:19.400,1.6915475654999999,8.244488210869047,6.900323703190476,0.014254635966006023,0.00705418199829759,0.02701343205506024,50.238547073,6.643437795,412.38246381,10.537000086099999,317.48999329,9.7558958997,15.59261961,-7.781250238300001,7.3275003432000005,-23.574375723
1970-01-01 00:00:19.500,1.7095744725421689,8.30565677779518,7.3568449422771085,0.006865591794512047,0.02303188550325301,0.027572762030722894,50.238557392,6.6434263,412.05498353999997,10.8480001474,317.25999146,9.5870010368,15.36542778,-8.002500247899999,7.6387502192,-23.780625915
1970-01-01 00:00:19.600,1.3569358457831326,7.879683908180723,6.82675181813253,0.04536368862464578,0.004802142524307229,0.026939836039638555,50.238567711,6.643414805,411.72750327,11.1590002087,317.02998963,9.4181061739,15.13823595,-7.601250314700001,7.0050003051,-24.341250992000003
1970-01-01 00:00:19.700,1.5836522019012047,7.594155995192771,7.099598459445784,-0.02787174607046988,0.004890457849156627,0.04122483046915663,50.23857803,6.64340331,411.400023,11.47000027,316.7999878,9.249211311,14.91104412,-7.9500003336,7.0218752861,-24.352500913
1970-01-01 00:00:19.800,1.4623030552357144,7.477488852690476,6.7732334307499995,-0.03334571548086905,0.0055776171695821435,0.04634439954095238,50.238586068,6.643387306,412.17057659,11.540000251,316.4999878,9.3030079839,14.982679747999999,-7.995000362400001,7.066875362199999,-23.10187607
1970-01-01 00:00:19.900,1.330085059246988,7.177916584240964,6.613325756638554,-0.022859854909501206,0.027749392700609637,0.03859745105192771,50.238594106,6.643371302,412.94113017999996,11.610000231999999,316.1999878,9.3568046568,15.054315376,-7.826250314499999,7.3481252669,-23.59687557
1970-01-01 00:00:20.000,1.1530954658072288,7.239488504048192,7.221481047457831,0.020937157637421686,0.02168507770779518,0.04082741144,50.238602144,6.643355298,413.71168377,11.680000213,315.8999878,9.4106013297,15.125951004000001,-7.828125238299999,7.248750257599999,-23.4506258
1970-01-01 00:00:20.100,1.2070060498180724,6.850056659710843,7.711270964289158,-0.06117396134049518,0.05889524299457832,0.06573231688831326,50.238610182,6.6433392940000005,414.48223736,11.750000194,315.5999878,9.4643980026,15.197586632,-7.7850002764,7.1737503051000004,-23.73562603
1970-01-01 00:00:20.200,0.7861899893518073,3.661220424192771,9.423065311927711,-0.08593675561642142,0.03771254658988691,0.09823732867333333,50.23861822,6.64332329,415.25279094999996,11.820000175,315.2999878,9.5181946755,15.26922226,-7.404375267000001,7.856250333699999,-23.034375762
1970-01-01 00:00:20.300,0.6564737402707144,4.163735716095238,8.744039785130953,-0.0369093423863494,0.017872802325040966,0.07876617827373494,50.238626258,6.643307286,416.02334454,11.890000156,314.9999878,9.571991348400001,15.340857888,-7.115625285999999,7.676250362199999,-23.154375838
1970-01-01 00:00:20.400,0.6878716446443374,3.572714845855422,9.193826388168674,0.0333233738072759,0.009033915802819276,0.08317458171722891,50.238634296,6.643291282,416.79389813,11.960000137,314.6999878,9.6257880213,15.412493516000001,-6.8381252766000005,8.306250476799999,-23.238750646
1970-01-01 00:00:20.500,0.7078610814686748,4.310042978795181,9.0198674546747,0.04676201391378313,0.011639216171456626,0.07724274012662652,50.238642334,6.643275278,417.56445172,12.030000118,314.3999878,9.6795846942,15.484129144,-6.802500295500001,7.935000276399999,-23.064375685
