Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Mag Direction (°)
1970-01-01 00:01:22.700,-0.7817820265595595,2.509081600308366,-0.5484733581893444,0.04855775742786626,-0.08239446384891566,0.054133578664096384,50.24485696,6.6282348,480.944869,26.30999947,236.8999939,233.4195945647964
1970-01-01 00:01:22.800,-0.5608639531952222,2.282181482380655,-1.3918712857556095,0.012966704897431326,0.005398270765277108,0.02848535328439759,50.244842913,6.628203812000001,481.17428427,26.431999592,236.75999451,232.12321629386284
1970-01-01 00:01:22.900,0.20329332564104274,1.8748610576216187,-1.9281266167074174,-0.029709719998408334,0.06523703309238095,-0.016383796148508333,50.244828866,6.628172824,481.40369954,26.553999714,236.61999512,235.84985410639166
1970-01-01 00:01:23.000,0.9338196604154834,2.611668736949931,-0.43467225499815143,-0.008037609234871084,0.07889865118795181,-0.045257894446265066,50.244814819,6.628141836,481.63311481,26.675999836000003,236.47999572999998,233.55139272162472
1970-01-01 00:01:23.100,1.0334117899735729,3.08824558828427,1.556576315039571,0.028304122732518075,0.03276128387701807,-0.040326958454939756,50.244800772,6.628110848,481.86253008,26.797999958000002,236.33999634,234.92768173168807
1970-01-01 00:01:23.200,-0.02440680588907762,2.706078668332462,-0.05177525990018772,0.0828093616626506,0.006583167294975903,-0.028316082346908435,50.244786725,6.62807986,482.09194535,26.92000008,236.19999695,239.903894776947
1970-01-01 00:01:23.300,-0.4857495083155836,2.4544503153927026,-0.724482771876092,0.020605975333131327,0.07320231639012048,0.007856378854275904,50.244772678000004,6.628048872,482.32136062,27.042000202,236.05999756,240.3271940590259
1970-01-01 00:01:23.400,-0.41930543166618617,0.5483616500433053,1.433612673858848,-0.05030399875113095,0.10135701289749999,0.028942524802464287,50.244758631,6.628017884,482.55077589,27.164000324,235.91999816999999,241.429850023528
1970-01-01 00:01:23.500,-0.8971205296618975,0.23205646428326476,1.0516729961089926,0.025603147742968672,-0.00590608345406747,0.027513885298313254,50.244744584,6.627986896,482.78019116,27.286000446000003,235.77999878,243.45359314944068
1970-01-01 00:01:23.600,-1.228594807903656,-0.1940115693060922,0.4639392647022227,0.0012060555503686746,-0.0641720808186747,0.06244993326554217,50.244730537,6.627955908,483.00960643,27.408000568000002,235.63999939,229.3147208937428
